Data with dt = 0.1: (Execution time, Inactivity time)
33.569, -1.00
35.242, 3.00
35.670, 3.00
37.380, 3.00
38.429, 3.00
39.911, 3.00
36.821, 3.00
35.195, 3.00
40.429, 3.00
36.205, 3.00
37.465, 3.00
36.488, 3.00
36.559, 3.00
34.433, -1.00
38.013, 3.00
41.636, -1.00
44.725, -1.00
42.971, -1.00
37.617, 3.00
32.117, -1.00
40.415, 3.00
37.904, 3.00
37.275, 3.00
54.933, 3.00
36.196, 3.00
38.934, 3.00
34.987, 3.00
40.874, 3.00
41.439, 3.00
36.667, 3.00
36.345, 3.00
38.322, 3.00
35.762, 3.00
36.573, 3.00
76.005, 3.00
36.956, 3.00
35.308, 3.00
38.281, 3.00
37.031, 3.00
35.391, 3.00
38.189, 3.00
35.641, 3.00
34.951, 3.00
38.449, 3.00
39.689, -1.00
39.021, 3.00
42.382, 3.00
38.242, 3.00
32.942, -1.00
36.394, 3.00
