Data with dt = 0.1: (Execution time, Inactivity time)
34.145, 3.00
35.749, 3.00
36.140, 3.00
38.462, 3.00
39.936, 3.00
40.269, 3.00
39.749, 3.00
38.074, 3.00
34.418, 3.00
37.344, 3.00
38.845, 3.00
39.776, 3.00
34.536, 3.00
38.673, 3.00
37.448, 3.00
38.869, 3.00
34.218, 3.00
39.502, -1.00
35.476, 3.00
39.336, 3.00
39.773, 3.00
39.328, 3.00
48.355, 3.00
44.062, -1.00
36.553, 3.00
36.098, 3.00
37.726, -1.00
39.312, 3.00
34.714, 3.00
34.023, 3.00
36.618, 3.00
38.566, 3.00
35.045, 3.00
36.283, 3.00
37.526, 3.00
42.655, 3.00
36.242, 3.00
34.084, 3.00
33.961, 3.00
39.200, 3.00
35.665, 3.00
40.037, 3.00
38.202, 3.00
37.895, 3.00
33.952, 3.00
39.300, 3.00
39.381, -1.00
39.777, 3.00
38.918, 3.00
41.946, 3.00
