Data with dt = 0.1: (Execution time, Inactivity time)
33.298, 3.00
34.234, 3.00
34.912, 3.00
38.177, 3.00
38.801, 3.00
39.947, 3.00
32.841, 3.00
34.957, 3.00
37.093, 3.00
35.267, 3.00
36.476, 3.00
35.975, 3.00
33.886, 3.00
32.952, 3.00
33.225, 3.00
33.199, 3.00
33.416, 3.00
43.860, -1.00
35.319, 3.00
40.232, 3.00
33.233, 3.00
32.949, 3.00
37.024, 3.00
33.295, 3.00
39.537, -1.00
34.946, 3.00
38.643, 3.00
34.623, 3.00
33.611, 3.00
38.127, 3.00
33.626, 3.00
33.399, 3.00
33.879, 3.00
32.984, 3.00
55.418, 3.00
53.984, 3.00
34.419, 3.00
36.620, 3.00
36.667, 3.00
35.044, 3.00
34.022, 3.00
36.864, 3.00
31.996, -1.00
33.739, 3.00
39.194, 3.00
37.752, 3.00
34.070, 3.00
37.340, 3.00
33.581, 3.00
41.707, 3.00
