Data with dt = 0.05: (Execution time, Inactivity time)
31.523, 2.30
31.992, 2.30
32.034, 2.30
32.985, 2.30
35.292, 2.30
45.748, -1.00
27.036, -1.00
32.344, 2.30
32.414, 2.30
31.919, 2.30
44.375, 2.30
46.698, -1.00
26.501, -1.00
31.955, 2.30
34.356, 2.30
35.456, 2.30
32.738, 2.30
31.642, 2.30
27.474, -1.00
36.890, -1.00
32.601, -1.00
32.978, 2.30
27.984, -1.00
30.563, 2.30
31.090, 2.30
30.839, 2.30
26.715, -1.00
30.564, 2.30
30.487, 2.30
50.683, 2.30
33.410, -1.00
30.532, 2.30
31.708, -1.00
30.702, 2.30
30.916, 2.30
26.400, -1.00
32.765, 2.30
30.994, 2.30
35.946, 2.30
32.197, 2.30
46.394, -1.00
32.142, 2.30
31.834, 2.30
33.803, -1.00
32.252, 2.30
31.350, 2.30
31.768, 2.30
35.025, 2.30
32.150, 2.30
31.857, 2.30
32.617, 2.30
30.743, 2.30
30.035, 2.30
30.291, 2.30
31.110, 2.30
33.072, -1.00
32.112, 2.30
30.675, 2.30
30.489, 2.30
26.852, -1.00
31.355, 2.30
35.862, 2.30
32.803, 2.30
27.138, -1.00
32.601, 2.30
30.673, 2.30
40.645, -1.00
31.107, 2.30
31.678, 2.30
34.225, -1.00
32.521, 2.30
34.543, 2.30
31.412, -1.00
26.300, -1.00
31.125, 2.30
30.069, 2.30
32.267, -1.00
30.595, 2.30
33.204, -1.00
39.081, -1.00
30.453, 2.30
27.000, -1.00
33.001, 2.30
31.664, 2.30
31.593, 2.30
33.729, 2.30
32.280, 2.30
30.213, 2.30
32.153, 2.30
26.647, -1.00
31.792, 2.30
30.389, 2.30
36.572, -1.00
33.723, -1.00
28.751, -1.00
31.996, -1.00
39.341, -1.00
31.085, 2.30
38.278, -1.00
31.157, 2.30
