Data with dt = 0.1: (Execution time, Inactivity time)
35.278, 3.00
36.065, -1.00
36.911, 3.00
37.678, 3.00
39.063, 3.00
50.965, -1.00
33.742, 3.00
36.404, 3.00
37.587, -1.00
40.562, 3.00
39.485, 3.00
45.167, 3.00
41.153, -1.00
42.239, 3.00
35.068, 3.00
38.229, 3.00
36.923, -1.00
47.065, 3.00
39.984, 3.00
38.004, 3.00
36.082, -1.00
45.578, -1.00
34.201, 3.00
38.896, 3.00
36.715, 3.00
40.358, 3.00
44.779, -1.00
45.630, -1.00
44.322, 3.00
41.192, 3.00
35.577, 3.00
34.680, 3.00
35.058, -1.00
37.732, 3.00
43.611, 3.00
27.360, -1.00
39.627, -1.00
39.148, 3.00
106.104, -1.00
47.928, 3.00
37.257, 3.00
37.667, 3.00
39.918, 3.00
32.282, -1.00
31.595, 3.00
40.206, 3.00
101.666, -1.00
36.554, 3.00
35.434, 3.00
38.739, -1.00
35.018, 3.00
39.199, -1.00
46.119, 3.00
41.554, 3.00
43.551, 3.00
39.541, 3.00
44.429, -1.00
42.019, 3.00
38.822, 3.00
34.432, -1.00
38.552, 3.00
35.551, 3.00
38.643, 3.00
42.720, 3.00
43.214, 3.00
40.511, -1.00
36.754, 3.00
41.356, 3.00
43.306, 3.00
40.208, 3.00
39.775, 3.00
35.314, 3.00
41.518, 3.00
56.866, 3.00
41.665, -1.00
40.791, -1.00
30.741, -1.00
49.337, 3.00
52.560, -1.00
35.895, 3.00
38.646, 3.00
42.521, -1.00
40.815, 3.00
36.511, -1.00
38.150, 3.00
36.803, 3.00
41.286, -1.00
43.832, 3.00
39.360, 3.00
52.625, 3.00
27.726, -1.00
41.897, 3.00
36.993, -1.00
41.046, 3.00
51.616, 3.00
47.198, 3.00
64.141, -1.00
37.684, 3.00
33.305, 3.00
32.978, 3.00
