Data with dt = 0.1: (Execution time, Inactivity time)
38.614, -1.00
41.209, 3.00
42.005, -1.00
42.286, 3.00
50.314, -1.00
62.124, 3.00
36.239, 3.00
33.652, 3.00
37.218, 3.00
41.316, -1.00
37.016, 3.00
37.170, 3.00
42.804, 3.00
37.701, -1.00
37.979, 3.00
45.648, 3.00
37.239, 3.00
51.883, 3.00
32.891, -1.00
41.216, -1.00
34.394, -1.00
35.418, 3.00
35.561, 3.00
59.305, 3.00
36.983, 3.00
40.746, -1.00
51.910, -1.00
40.148, 3.00
45.581, 3.00
50.635, -1.00
39.451, 3.00
56.143, -1.00
37.419, 3.00
36.870, 3.00
70.940, 3.00
37.247, 3.00
32.015, 3.00
39.727, 3.00
38.676, 3.00
43.324, 3.00
39.195, 3.00
36.945, 3.00
43.148, 3.00
56.059, 3.00
43.314, 3.00
31.348, 3.00
45.052, 3.00
39.248, 3.00
37.316, 3.00
55.539, 3.00
